iter	Passed	Remaining
410	3463	4963
411	3470	4953
412	3478	4943
413	3486	4935
414	3494	4925
415	3501	4915
416	3508	4905
417	3519	4899
418	3527	4890
419	3534	4880
420	3541	4871
421	3549	4861
422	3557	4852
423	3564	4841
424	3571	4832
425	3579	4822
426	3587	4814
427	3595	4805
428	3603	4795
429	3610	4786
430	3617	4776
431	3625	4766
432	3632	4756
433	3640	4747
434	3647	4737
435	3655	4728
436	3663	4719
437	3670	4709
438	3677	4699
439	3684	4689
440	3692	4680
441	3701	4673
442	3709	4664
443	3717	4654
444	3724	4645
445	3732	4636
446	3739	4625
447	3745	4615
448	3753	4605
449	3760	4595
450	3768	4586
451	3775	4576
452	3782	4567
453	3790	4558
454	3797	4548
455	3804	4539
456	3812	4529
457	3819	4519
458	3827	4511
459	3834	4501
460	3841	4491
461	3849	4483
462	3857	4473
463	3864	4463
464	3872	4455
465	3880	4446
466	3887	4437
467	3895	4428
468	3905	4421
469	3915	4414
470	3922	4405
471	3930	4396
472	3937	4387
473	3944	4377
474	3951	4367
475	3959	4359
476	3967	4349
477	3973	4339
478	3981	4330
479	3987	4319
480	3995	4310
481	4002	4301
482	4010	4293
483	4018	4284
484	4024	4273
485	4031	4263
486	4039	4254
487	4047	4246
488	4054	4237
489	4062	4228
490	4070	4219
491	4079	4211
492	4086	4202
493	4094	4193
494	4101	4184
495	4109	4175
496	4116	4166
497	4123	4156
498	4131	4147
499	4139	4139
500	4146	4130
501	4154	4121
502	4162	4112
503	4169	4103
504	4176	4094
505	4184	4085
506	4192	4076
507	4200	4068
508	4208	4059
509	4216	4051
510	4223	4042
511	4231	4033
512	4238	4023
513	4246	4015
514	4253	4006
515	4261	3996
516	4268	3988
517	4276	3979
518	4284	3970
519	4292	3961
520	4299	3953
521	4310	3947
522	4318	3938
523	4328	3931
524	4337	3924
525	4345	3915
526	4355	3909
527	4363	3900
528	4372	3893
529	4380	3884
530	4389	3876
531	4398	3869
532	4406	3861
533	4415	3852
534	4423	3844
535	4430	3835
536	4438	3826
537	4446	3818
538	4454	3809
539	4462	3801
540	4469	3792
541	4478	3784
542	4485	3774
543	4492	3765
544	4499	3756
545	4507	3747
546	4514	3738
547	4522	3729
548	4530	3721
549	4539	3714
550	4546	3704
551	4554	3696
552	4561	3687
553	4568	3677
554	4576	3669
555	4583	3659
556	4591	3651
557	4598	3642
558	4605	3633
559	4613	3625
560	4621	3616
561	4628	3607
562	4636	3598
563	4643	3589
564	4650	3580
565	4657	3571
566	4664	3562
567	4672	3553
568	4679	3544
569	4686	3535
570	4693	3526
571	4710	3524
572	4720	3517
573	4729	3509
574	4736	3500
575	4743	3491
576	4751	3483
577	4759	3474
578	4767	3466
579	4775	3458
580	4784	3450
581	4792	3442
582	4800	3433
583	4808	3425
584	4817	3417
585	4827	3410
586	4837	3403
587	4846	3395
588	4855	3387
589	4864	3380
590	4872	3371
591	4880	3363
592	4887	3354
593	4895	3346
594	4903	3337
595	4911	3329
596	4918	3320
597	4926	3311
598	4934	3303
599	4941	3294
600	4950	3286
601	4958	3278
602	4966	3269
603	4975	3261
604	4983	3253
605	4991	3245
606	5000	3237
607	5009	3229
608	5016	3221
609	5024	3212
610	5031	3203
611	5039	3194
612	5046	3186
613	5054	3177
614	5062	3169
615	5071	3161
616	5079	3153
617	5087	3144
618	5095	3136
619	5105	3129
620	5112	3120
621	5121	3112
622	5128	3103
623	5136	3095
624	5144	3086
625	5151	3077
626	5158	3069
627	5166	3060
628	5174	3051
629	5181	3043
630	5189	3034
631	5196	3026
632	5204	3017
633	5212	3009
634	5220	3000
635	5228	2992
636	5235	2983
637	5244	2975
638	5251	2966
639	5259	2958
640	5266	2949
641	5274	2941
642	5281	2932
643	5289	2923
644	5297	2915
645	5304	2907
646	5311	2897
647	5318	2888
648	5325	2880
649	5334	2872
650	5341	2863
651	5349	2855
